gridclstid,nsrdb_id,cluster_id,nsrdb_lat,nsrdb_lon,solar_lat,solar_lon,solar_covg,solar_area
132,139,7,21.41,-157.90,,,0.0000000000000,0.000
133,139,6,21.41,-157.90,,,0.0000000000000,0.000
134,140,6,21.37,-157.90,21.37579,-157.90625,0.0118707217745,94363.828
135,148,15,21.57,-157.86,21.55157,-157.85117,0.0079311735448,34785.958
136,148,14,21.57,-157.86,21.57213,-157.87816,0.0992067029147,109655.168
137,149,15,21.53,-157.86,21.53168,-157.84833,0.0686020840453,1243150.781
138,150,15,21.49,-157.86,21.48998,-157.85503,0.1452171210562,2664733.610
139,151,15,21.45,-157.86,21.45692,-157.84783,0.1059243674551,1718131.277
140,152,15,21.41,-157.86,,,0.0000000000000,0.000
141,162,15,21.53,-157.82,21.52352,-157.83762,0.1059740646338,560014.959
142,163,15,21.49,-157.82,,,0.0000000000000,0.000
143,164,15,21.45,-157.82,21.44905,-157.83636,0.0298787764178,450686.014
144,165,15,21.41,-157.82,21.41006,-157.81489,0.0469024830390,807980.846
145,166,15,21.37,-157.82,21.38938,-157.78751,0.0000000000000,0.000
146,168,18,21.29,-157.82,,,0.0000000000000,0.000
147,177,15,21.45,-157.78,,,0.0000000000000,0.000
148,178,15,21.41,-157.78,21.39146,-157.78940,0.0094879054837,118372.646
149,178,16,21.41,-157.78,,,0.0000000000000,0.000
150,179,15,21.37,-157.78,21.38926,-157.78761,0.0111923291186,65236.222
151,179,16,21.37,-157.78,21.36837,-157.76687,0.1201455087769,1173357.337
152,180,16,21.33,-157.78,,,0.0000000000000,0.000
153,180,18,21.33,-157.78,21.31703,-157.78283,0.0031219832810,14964.136
154,181,18,21.29,-157.78,,,0.0000000000000,0.000
155,191,15,21.41,-157.74,,,0.0000000000000,0.000
156,191,16,21.41,-157.74,,,0.0000000000000,0.000
157,192,16,21.37,-157.74,21.36727,-157.74305,0.0695409947693,1105624.351
158,193,16,21.33,-157.74,21.33970,-157.73369,0.2346553005250,2828469.748
159,205,16,21.37,-157.70,,,0.0000000000000,0.000
160,206,16,21.33,-157.70,21.33339,-157.71003,0.2801629517055,2613252.839
161,206,17,21.33,-157.70,,,0.0000000000000,0.000
162,207,17,21.29,-157.70,21.30326,-157.69497,0.0305549370346,243171.785
163,219,17,21.33,-157.66,,,0.0000000000000,0.000
164,220,17,21.29,-157.66,,,0.0000000000000,0.000
