load_zone,nsrdb_id,nsrdb_lat,nsrdb_lon,lz_nc_area,roof_covg,roof_area
Oahu,4686,21.45,-157.74,18356325.126099,0.028069885527763,515259.945
Oahu,4685,21.49,-157.74,18351398.238037,0.000000000000000,0.000
Oahu,4684,21.53,-157.74,18346462.513428,0.000000000000000,0.000
Oahu,4692,21.21,-157.74,18385700.787842,,
Oahu,4691,21.25,-157.74,18380826.957153,0.000000000000000,0.000
Oahu,4690,21.29,-157.74,18375944.278809,0.073872089912975,1357469.408
Oahu,4689,21.33,-157.74,18371052.754517,0.013457327149595,247225.267
Oahu,4688,21.37,-157.74,18366152.386475,0.092546268115018,1699718.863
Oahu,4687,21.41,-157.74,18361243.176392,0.106121480461918,1948522.309
Oahu,5042,21.29,-157.58,18378040.654907,,
Oahu,5041,21.33,-157.58,18373147.424072,,
Oahu,4864,21.37,-157.66,18367167.591919,0.000000000000000,0.000
Oahu,4863,21.41,-157.66,18362257.552368,0.000000000000000,0.000
Oahu,4862,21.45,-157.66,18357338.671143,0.000000000000000,0.000
Oahu,4861,21.49,-157.66,18352410.951172,0.000000000000000,0.000
Oahu,4868,21.21,-157.66,18386719.302490,,
Oahu,4867,21.25,-157.66,18381844.646118,0.000000000000000,0.000
Oahu,4866,21.29,-157.66,18376961.140991,0.022352885923219,410778.116
Oahu,4865,21.33,-157.66,18372068.789062,0.002143873096287,39387.384
Oahu,4952,21.37,-157.62,18367698.650269,0.000000000000000,0.000
Oahu,4951,21.41,-157.62,18362788.176270,0.000000000000000,0.000
Oahu,4955,21.25,-157.62,18382377.003296,0.000000000000000,0.000
Oahu,4954,21.29,-157.62,18377493.065552,0.000000000000000,0.000
Oahu,4953,21.33,-157.62,18372600.280640,0.000000000000000,0.000
Oahu,4775,21.41,-157.70,18361742.552856,0.003135477737708,57572.835
Oahu,4774,21.45,-157.70,18356824.093506,0.000000000000000,0.000
Oahu,4773,21.49,-157.70,18351896.795776,0.000000000000000,0.000
Oahu,4772,21.53,-157.70,18346960.661499,0.000000000000000,0.000
Oahu,4780,21.21,-157.70,18386202.201782,,
Oahu,4779,21.25,-157.70,18381327.964600,0.005855966239616,107640.436
Oahu,4778,21.29,-157.70,18376444.879150,0.109634876672249,2014699.268
Oahu,4777,21.33,-157.70,18371552.947632,0.026036002909686,478321.806
Oahu,4776,21.37,-157.70,18366652.171265,0.009155008078340,168146.849
Oahu,4600,21.37,-157.78,18365668.235840,0.019427006380510,356789.954
Oahu,4599,21.41,-157.78,18360759.421509,0.086031560282280,1579604.781
Oahu,4598,21.45,-157.78,18355841.767456,0.003905779855169,71693.877
Oahu,4597,21.49,-157.78,18350915.276001,0.000000000000000,0.000
Oahu,4596,21.53,-157.78,18345979.948730,0.000000000000000,0.000
Oahu,4595,21.57,-157.78,18341035.787598,0.000000000000000,0.000
Oahu,4604,21.21,-157.78,18385215.059448,,
Oahu,4603,21.25,-157.78,18380341.622559,0.033949745321062,624007.917
Oahu,4602,21.29,-157.78,18375459.338501,0.154473181089554,2838515.658
Oahu,4601,21.33,-157.78,18370568.208740,0.008658247975385,159056.935
Oahu,4512,21.37,-157.82,18365199.718018,0.001373827368468,25230.614
Oahu,4511,21.41,-157.82,18360291.286621,0.079964362333938,1468168.985
Oahu,4510,21.45,-157.82,18355374.015991,0.032124225117195,589652.167
Oahu,4509,21.49,-157.82,18350447.908325,0.000000000000000,0.000
Oahu,4508,21.53,-157.82,18345512.965210,0.000333225732722,6113.197
Oahu,4507,21.57,-157.82,18340569.188965,0.000000000000000,0.000
Oahu,4506,21.61,-157.82,18335616.581421,0.000000000000000,0.000
Oahu,4516,21.21,-157.82,18384745.014648,,
Oahu,4515,21.25,-157.82,18379871.958862,0.011611836822242,213424.074
