technology,cumulative_mw,cap_factor
CentralTrackingPV,0.0,0.28559110236964097
CentralTrackingPV,34.18905258233132,0.28559110236964097
CentralTrackingPV,280.2237185373351,0.27067725921407015
CentralTrackingPV,527.1479523383562,0.2669540098615351
CentralTrackingPV,873.539826565123,0.26543639532479435
CentralTrackingPV,1108.9264136968745,0.2590432744100419
CentralTrackingPV,1598.335608743569,0.2554378697148957
CentralTrackingPV,1672.4142598788526,0.2548875955914148
CentralTrackingPV,1944.4803453212285,0.2517549547135661
CentralTrackingPV,2282.750589905919,0.2513360089371048
CentralTrackingPV,2665.0959936345707,0.24958117940096217
CentralTrackingPV,3393.1043130064622,0.24719485357656595
CentralTrackingPV,4642.0645949699265,0.2461959292295471
CentralTrackingPV,4647.465251808397,0.23663910375979177
CentralTrackingPV,4901.842036937279,0.22749699426900297
CentralTrackingPV,4909.853904080364,0.22416602034803673
CentralTrackingPV,5162.332527441027,0.21202402826785027
CentralTrackingPV,5265.6732184788525,0.2113536263179862
CentralTrackingPV,5266.16624718094,0.16054319601228845
DistPV,0.0,0.1911202678210685
DistPV,253.93560635133707,0.1911202678210685
DistPV,1233.9376012739394,0.18916545155143197
DistPV,1496.0362364623063,0.1888230231990494
DistPV,1632.1093161800663,0.1869957518213973
DistPV,1784.6306940004208,0.1826763508658487
DistPV,2007.5146448509265,0.18077017779636284
DistPV,2239.221267694019,0.1796756133135376
DistPV,2329.8065330406607,0.17776434100876926
DistPV,2439.211896088534,0.17076611879760956
DistPV,2628.448028798215,0.16153587359314991
DistPV,2855.3434686998153,0.16066187892786965
DistPV,2999.4523394949656,0.1570703245120736
DistPV,3080.8836739012927,0.15457032620584943
DistPV,3440.585153591848,0.1503083987070679
DistPV,3551.3428653860537,0.14957647195000778
DistPV,3718.6232570601314,0.14932357590424367
DistPV,3848.8028947412386,0.1492622220730121
DistPV,3942.698315875892,0.14838245313337137
DistPV,4035.238098054808,0.14524171500797975
DistPV,4061.869403261348,0.12014598458807085
OffshoreWind,0.0,0.42847229600174175
OffshoreWind,2400.0,0.42847229600174175
OnshoreWind,0.0,0.3654073075574831
OnshoreWind,30.0,0.3654073075574831
OnshoreWind,147.5,0.36200242723076553
OnshoreWind,390.0,0.34228125246488084
OnshoreWind,459.0,0.32875054763343736
OnshoreWind,466.5,0.322388102993832
OnshoreWind,509.0,0.32015906784832815
OnshoreWind,519.0,0.303467262055391
OnshoreWind,539.0,0.2978514770632318
OnshoreWind,581.5,0.2893207679734042
OnshoreWind,584.0,0.2838772121713767
OnshoreWind,586.5,0.27855507616953856
OnshoreWind,636.5,0.2534347000241713
OnshoreWind,849.0,0.25030484711982126
OnshoreWind,864.0,0.25022259866273755
OnshoreWind,916.5,0.25004936864486565
OnshoreWind,966.5,0.24647309697459882
OnshoreWind,1011.5,0.2423697338887585
OnshoreWind,1054.0,0.23925871763875003
OnshoreWind,1101.5,0.23830587283081608
OnshoreWind,1114.0,0.23182239973381077
OnshoreWind,1116.5,0.21826452646207745
OnshoreWind,1131.5,0.195838766141914
OnshoreWind,1189.0,0.19355925558870954
OnshoreWind,1241.5,0.19262267420412368
OnshoreWind,1411.5,0.1899099998338903
OnshoreWind,1531.5,0.18960510377864168
OnshoreWind,1559.0,0.1888068983994927
OnshoreWind,1634.0,0.18854033753938987
OnshoreWind,1666.5,0.18695718822182758
OnshoreWind,1669.0,0.1810325838773034
OnshoreWind,1671.5,0.1676361045443591
OnshoreWind,1691.5,0.1621355270552795
OnshoreWind,1701.5,0.15914625523541062
OnshoreWind,1716.5,0.1576160146947471
OnshoreWind,1936.5,0.1563279856928303
OnshoreWind,1974.0,0.15608774545847925
OnshoreWind,2056.5,0.15323894749435588
OnshoreWind,2106.5,0.15300460809995953
OnshoreWind,2226.5,0.15014859164897856
OnshoreWind,2326.5,0.12641136541247935
OnshoreWind,2631.5,0.12349392869918716
OnshoreWind,2659.0,0.12091071112974232
OnshoreWind,2679.0,0.12039206307186354
OnshoreWind,2739.0,0.11935819371172647
OnshoreWind,2759.0,0.11860603571550005
OnshoreWind,2776.5,0.11112923546182958
