I,J,LAT,LON
5,5,21.4769,-160.5677
6,5,21.4769,-160.5581
7,5,21.4769,-160.5485
8,5,21.4769,-160.5389
9,5,21.4769,-160.5293
10,5,21.4769,-160.5197
11,5,21.4769,-160.5101
12,5,21.4769,-160.5005
13,5,21.4769,-160.4909
14,5,21.4769,-160.4813
15,5,21.4769,-160.4717
16,5,21.4769,-160.4621
17,5,21.4769,-160.4525
18,5,21.4769,-160.4429
19,5,21.4769,-160.4332
20,5,21.4769,-160.4236
21,5,21.4769,-160.414
22,5,21.4769,-160.4044
23,5,21.4769,-160.3948
24,5,21.4769,-160.3852
25,5,21.4769,-160.3756
26,5,21.4769,-160.366
27,5,21.4769,-160.3564
28,5,21.4769,-160.3468
29,5,21.4769,-160.3372
30,5,21.4769,-160.3276
31,5,21.4769,-160.318
32,5,21.4769,-160.3084
33,5,21.4769,-160.2988
34,5,21.4769,-160.2892
35,5,21.4769,-160.2795
36,5,21.4769,-160.2699
37,5,21.4769,-160.2603
38,5,21.4769,-160.2507
39,5,21.4769,-160.2411
40,5,21.4769,-160.2315
41,5,21.4769,-160.2219
42,5,21.4769,-160.2123
43,5,21.4769,-160.2027
44,5,21.4769,-160.1931
45,5,21.4769,-160.1835
46,5,21.4769,-160.1739
47,5,21.4769,-160.1643
48,5,21.4769,-160.1546
49,5,21.4769,-160.1451
50,5,21.4769,-160.1354
51,5,21.4769,-160.1258
52,5,21.4769,-160.1162
53,5,21.4769,-160.1066
54,5,21.4769,-160.097
55,5,21.4769,-160.0874
56,5,21.4769,-160.0778
57,5,21.4769,-160.0682
58,5,21.4769,-160.0586
59,5,21.4769,-160.049
60,5,21.4769,-160.0394
61,5,21.4769,-160.0298
62,5,21.4769,-160.0202
63,5,21.4769,-160.0106
64,5,21.4769,-160.0009
65,5,21.4769,-159.9913
66,5,21.4769,-159.9817
67,5,21.4769,-159.9721
68,5,21.4769,-159.9625
69,5,21.4769,-159.9529
70,5,21.4769,-159.9433
71,5,21.4769,-159.9337
72,5,21.4769,-159.9241
73,5,21.4769,-159.9145
74,5,21.4769,-159.9049
75,5,21.4769,-159.8953
76,5,21.4769,-159.8857
77,5,21.4769,-159.8761
78,5,21.4769,-159.8665
79,5,21.4769,-159.8569
80,5,21.4769,-159.8472
81,5,21.4769,-159.8376
82,5,21.4769,-159.828
83,5,21.4769,-159.8184
84,5,21.4769,-159.8088
85,5,21.4769,-159.7992
86,5,21.4769,-159.7896
87,5,21.4769,-159.78
88,5,21.4769,-159.7704
89,5,21.4769,-159.7608
90,5,21.4769,-159.7512
91,5,21.4769,-159.7416
92,5,21.4769,-159.732
93,5,21.4769,-159.7224
94,5,21.4769,-159.7128
95,5,21.4769,-159.7031
96,5,21.4769,-159.6935
97,5,21.4769,-159.6839
98,5,21.4769,-159.6743
99,5,21.4769,-159.6647
100,5,21.4769,-159.6551
101,5,21.4769,-159.6455
102,5,21.4769,-159.6359
103,5,21.4769,-159.6263
104,5,21.4769,-159.6167
105,5,21.4769,-159.6071
106,5,21.4769,-159.5975
107,5,21.4769,-159.5879
108,5,21.4769,-159.5783
109,5,21.4769,-159.5686
110,5,21.4769,-159.5591
111,5,21.4769,-159.5494
112,5,21.4769,-159.5398
113,5,21.4769,-159.5302
114,5,21.4769,-159.5206
115,5,21.4769,-159.511
116,5,21.4769,-159.5014
117,5,21.4769,-159.4918
118,5,21.4769,-159.4822
119,5,21.4769,-159.4726
120,5,21.4769,-159.463
121,5,21.4769,-159.4534
122,5,21.4769,-159.4438
123,5,21.4769,-159.4342
124,5,21.4769,-159.4246
125,5,21.4769,-159.4149
126,5,21.4769,-159.4053
127,5,21.4769,-159.3957
128,5,21.4769,-159.3861
129,5,21.4769,-159.3765
130,5,21.4769,-159.3669
131,5,21.4769,-159.3573
132,5,21.4769,-159.3477
133,5,21.4769,-159.3381
134,5,21.4769,-159.3285
135,5,21.4769,-159.3189
136,5,21.4769,-159.3093
137,5,21.4769,-159.2997
138,5,21.4769,-159.2901
139,5,21.4769,-159.2805
140,5,21.4769,-159.2708
141,5,21.4769,-159.2612
142,5,21.4769,-159.2516
143,5,21.4769,-159.242
144,5,21.4769,-159.2324
145,5,21.4769,-159.2228
146,5,21.4769,-159.2132
147,5,21.4769,-159.2036
148,5,21.4769,-159.194
149,5,21.4769,-159.1844
150,5,21.4769,-159.1748
151,5,21.4769,-159.1652
152,5,21.4769,-159.1556
153,5,21.4769,-159.146
154,5,21.4769,-159.1364
155,5,21.4769,-159.1268
156,5,21.4769,-159.1171
157,5,21.4769,-159.1075
158,5,21.4769,-159.0979
159,5,21.4769,-159.0883
160,5,21.4769,-159.0787
161,5,21.4769,-159.0691
162,5,21.4769,-159.0595
163,5,21.4769,-159.0499
164,5,21.4769,-159.0403
165,5,21.4769,-159.0307
166,5,21.4769,-159.0211
167,5,21.4769,-159.0115
168,5,21.4769,-159.0019
169,5,21.4769,-158.9923
5,6,21.4858,-160.5677
6,6,21.4858,-160.5581
7,6,21.4858,-160.5485
8,6,21.4858,-160.5389
9,6,21.4858,-160.5293
10,6,21.4858,-160.5197
11,6,21.4858,-160.5101
12,6,21.4858,-160.5005
13,6,21.4858,-160.4909
14,6,21.4858,-160.4813
15,6,21.4858,-160.4717
16,6,21.4858,-160.4621
17,6,21.4858,-160.4525
18,6,21.4858,-160.4429
19,6,21.4858,-160.4332
20,6,21.4858,-160.4236
21,6,21.4858,-160.414
22,6,21.4858,-160.4044
23,6,21.4858,-160.3948
24,6,21.4858,-160.3852
25,6,21.4858,-160.3756
26,6,21.4858,-160.366
27,6,21.4858,-160.3564
28,6,21.4858,-160.3468
29,6,21.4858,-160.3372
30,6,21.4858,-160.3276
31,6,21.4858,-160.318
32,6,21.4858,-160.3084
33,6,21.4858,-160.2988
34,6,21.4858,-160.2892
35,6,21.4858,-160.2795
36,6,21.4858,-160.2699
37,6,21.4858,-160.2603
38,6,21.4858,-160.2507
39,6,21.4858,-160.2411
40,6,21.4858,-160.2315
41,6,21.4858,-160.2219
42,6,21.4858,-160.2123
43,6,21.4858,-160.2027
44,6,21.4858,-160.1931
45,6,21.4858,-160.1835
